worker,model,strategy,bias,view_signature,view_hash,restart_hash,rss_bytes,heap_used_bytes,user_cpu_micros,system_cpu_micros
cypher-1,"openai/gpt-5.6-luna",mystery-curator,mystery,"mystery|mystery:ready:2:1|verified:emerging:3:0",sha256:2503593ce8cb1b1ea16c5635a22d4e6bd45eeeda6260c840a20d758f3303bbdc,sha256:2503593ce8cb1b1ea16c5635a22d4e6bd45eeeda6260c840a20d758f3303bbdc,106098688,39111128,937000,578000
cypher-2,"anthropic/claude-sonnet-5",verification-curator,verified,"verified|mystery:emerging:2:1|verified:ready:3:0",sha256:97620d7c513024edaa895b3b64e47327c773c242f59c59157c8b651492bb6480,sha256:97620d7c513024edaa895b3b64e47327c773c242f59c59157c8b651492bb6480,163307520,49976872,890000,453000
cypher-3,"openai/gpt-5.6-terra",risk-auditor,verified,"verified|mystery:emerging:2:1|verified:ready:3:0",sha256:6cff6c43d37bcbcbf422746e5c4d78d02d20bbd52634bcb4471b223cee12cd0c,sha256:6cff6c43d37bcbcbf422746e5c4d78d02d20bbd52634bcb4471b223cee12cd0c,106532864,39187736,1156000,500000
cypher-4,"openai/gpt-5.6-sol",originality-auditor,mystery,"mystery|mystery:ready:2:1|verified:emerging:3:0",sha256:c03f1aa724ff126482f25603e667fce75f9e1badeff87b7ebf6adf362baebdc2,sha256:c03f1aa724ff126482f25603e667fce75f9e1badeff87b7ebf6adf362baebdc2,106987520,39195256,1000000,546000
cypher-5,"openai/gpt-5.6-luna",verification-questioner,neutral,"verified|mystery:ready:2:1|verified:ready:3:0",sha256:e1c02de25be8891019bb91643d85c56ce482eea7d54131d38f5ced3ca7411d77,sha256:e1c02de25be8891019bb91643d85c56ce482eea7d54131d38f5ced3ca7411d77,164556800,54943288,843000,640000
cypher-6,"anthropic/claude-sonnet-5",mystery-builder,mystery,"mystery|mystery:ready:2:1|verified:emerging:3:0",sha256:e05f5a20494a19bd478cb39d70ba0e989f4b4b3ce4a4a47d69344df54fcecd89,sha256:e05f5a20494a19bd478cb39d70ba0e989f4b4b3ce4a4a47d69344df54fcecd89,105820160,39100424,968000,640000
cypher-7,"openai/gpt-5.6-terra",bridge-builder,verified,"verified|mystery:emerging:2:1|verified:ready:3:0",sha256:624c761f121373592a08583295c9e7ea3e43ded1d838ce26441b4fa15edfc54b,sha256:624c761f121373592a08583295c9e7ea3e43ded1d838ce26441b4fa15edfc54b,162959360,49976160,921000,390000
cypher-8,"openai/gpt-5.6-sol",quiet-observer,critical,"verified|mystery:contested:2:1|verified:ready:3:0",sha256:44c8175753a8ab3e10ea4f5691e6c5e4f75e08341966ed5371f6bbaf187a8f2c,sha256:44c8175753a8ab3e10ea4f5691e6c5e4f75e08341966ed5371f6bbaf187a8f2c,161251328,39759128,1140000,343000
