worker,model,strategy,bias,view_signature,view_hash,restart_hash,rss_bytes,heap_used_bytes,user_cpu_micros,system_cpu_micros
cypher-1,"openai/gpt-5.6-luna",mystery-curator,mystery,"verified|mystery:contested:0:1|verified:emerging:3:0",sha256:a35b6d7a266385a53d01a67a20d045b4a75c1cb827d4ee32f53585c426309b31,sha256:a35b6d7a266385a53d01a67a20d045b4a75c1cb827d4ee32f53585c426309b31,160989184,55283248,937000,500000
cypher-2,"anthropic/claude-sonnet-5",verification-curator,verified,"verified|mystery:contested:0:1|verified:ready:3:0",sha256:8a71aad4b89cedfc3bdef4b65e7469ae1a2cd340736831fdeb1997d6544cc9aa,sha256:8a71aad4b89cedfc3bdef4b65e7469ae1a2cd340736831fdeb1997d6544cc9aa,163033088,59629384,968000,593000
cypher-3,"openai/gpt-5.6-terra",risk-auditor,verified,"verified|mystery:contested:0:1|verified:ready:3:0",sha256:0745e679ac82eafc5621a050553cf0f86a659aff32c215b44540e221b8eb7efb,sha256:0745e679ac82eafc5621a050553cf0f86a659aff32c215b44540e221b8eb7efb,162017280,61000624,1078000,468000
cypher-4,"openai/gpt-5.6-sol",originality-auditor,mystery,"verified|mystery:contested:0:1|verified:emerging:3:0",sha256:6169a2c568de9247190c6063b8ff52c8355cffa4b109410ec6535d7487a7a15b,sha256:6169a2c568de9247190c6063b8ff52c8355cffa4b109410ec6535d7487a7a15b,161468416,60423696,968000,546000
cypher-5,"openai/gpt-5.6-luna",verification-questioner,neutral,"verified|mystery:contested:0:1|verified:ready:3:0",sha256:7c86aa1869d3b931edf3bbe4bc0476e6c81a5a723375480b545cb0e6f660f7e2,sha256:7c86aa1869d3b931edf3bbe4bc0476e6c81a5a723375480b545cb0e6f660f7e2,160772096,60511032,1000000,656000
cypher-6,"anthropic/claude-sonnet-5",mystery-builder,mystery,"verified|mystery:contested:0:1|verified:emerging:3:0",sha256:903ff3aeb166653866e7959bd1eb868185a36e3ec9a15ea61ca5a3740f77c6c9,sha256:903ff3aeb166653866e7959bd1eb868185a36e3ec9a15ea61ca5a3740f77c6c9,160927744,55315352,921000,687000
cypher-7,"openai/gpt-5.6-terra",bridge-builder,verified,"verified|mystery:contested:0:1|verified:ready:3:0",sha256:26752edebd70d350143cca5224e4c502a4cf5dc1e23262f30e2e9d058d0ee80e,sha256:26752edebd70d350143cca5224e4c502a4cf5dc1e23262f30e2e9d058d0ee80e,161038336,60607656,1031000,671000
cypher-8,"openai/gpt-5.6-sol",quiet-observer,critical,"verified|mystery:contested:0:1|verified:ready:3:0",sha256:5ca323f32a536a1f915f780cd24248caa89cfd7310e8b1f68ab834e788997f3d,sha256:5ca323f32a536a1f915f780cd24248caa89cfd7310e8b1f68ab834e788997f3d,161689600,60722960,953000,531000
