category,path,sha256,bytes,width,height,visible_ratio,luminance_stddev,center_offset_ratio,bounds_width_ratio,bounds_height_ratio,max_corner_ratio,passed
walkthrough,research/computer-use-runs/2026-07-10T22-36-41-198Z/shots/12-help-details.png,sha256:f3a8af98d620d1d818f24b77ca9d064f2052338c377735e56255bef46ee4a92b,229408,390,640,0.752432,97.396,0.001282,0.997436,0.91875,0.0,True
walkthrough,research/computer-use-runs/2026-07-10T22-36-41-198Z/shots/13-settings-brain.png,sha256:82824863a69393781f3937c0aa9d5122091587c260dc2555136c8bc6ade56487,216132,390,640,0.75258,97.546,0.0,1.0,0.91875,0.0,True
walkthrough,research/computer-use-runs/2026-07-10T22-36-41-198Z/shots/14-settings-device.png,sha256:22cbe0f29747c8628cfdb55bf0ed701d3c50019f606fe9990a8c3c03af007a8a,214181,390,640,0.75258,96.784,0.0,1.0,0.91875,0.0,True
walkthrough,research/computer-use-runs/2026-07-10T22-36-41-198Z/shots/15-runway-funding.png,sha256:91f9a107d89b1387d3e5a6b409bb9d05d477a4f1b97eb8860c5a3ec8465158aa,206432,390,640,0.752432,98.613,0.001282,0.997436,0.91875,0.0,True
network,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/network-states/signal-caught-up.png,sha256:fd50fd83305162c53c440a0c6294e4c18ab22098225d2842d3ece61633b688b0,40209,390,640,0.588574,89.282,0.0,1.0,1.0,0.664137,False
network,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/network-states/signal-offline.png,sha256:3932b7822f6fe365aafc249c61e0a32719fd66a8633ba69870230ee91f3fc176,40245,390,640,0.58734,89.275,0.0,1.0,1.0,0.664137,False
network,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/network-states/signal-reconnecting.png,sha256:bc9ea6bb6ba2401f532eebf8ec50d527865eaa99b79aec2880733f67efbcfb48,40814,390,640,0.589143,89.266,0.0,1.0,1.0,0.664137,False
network,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/network-states/signal-store-degraded.png,sha256:2ace350c5741f78e60ee7affbf192db98d8a267bff6d67652eabcd3d4bf1d8ab,41324,390,640,0.59113,89.257,0.0,1.0,1.0,0.664137,False
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-100-brain-settings.png,sha256:9292a29b7427653594d3bdb50e21f3ada783d43ee3086a7b4085bf126b64e1f2,46570,390,640,0.72236,90.751,0.0,1.0,1.0,0.664137,False
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-100-raft.png,sha256:3405cef6a0fe4f71a9c44978a99a57ac3c382f05a27243a3184f2a563af00f5d,41216,390,640,0.707316,91.069,0.0,1.0,1.0,0.664137,False
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-125-brain-settings.png,sha256:f734c36d411ee33bcc233ce2c2b91a79d69b7089f8557cf721453f1d4b4de635,68911,490,803,0.713325,92.072,0.0,1.0,1.0,0.220753,True
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-125-mode-visible.png,sha256:b140eedc74d1923b741b4f51e1cd35137b6846d568b885bd49b1aa2e17d31844,68751,490,805,0.708622,94.024,0.0,1.0,1.0,0.220753,True
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-125-raft.png,sha256:48bbaaf100af5b3538898372fc88901061fe6f601b7519a6a0f9da6d7d93882d,59786,490,805,0.709659,91.856,0.0,1.0,1.0,0.220753,True
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-150-brain-settings.png,sha256:c83bce1f044bad733ace43252e34c09ed075666dd1e8c71aeb4ca523de0bde1e,93035,588,960,0.687812,92.243,0.0,1.0,0.986458,0.228516,True
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-150-device-settings.png,sha256:5f3907558fc8901bd6fa51f25c72289e0f22d370ea1ab35a63535fd1063a67d7,92693,588,960,0.687661,91.551,0.0,1.0,0.986458,0.228516,True
scaling,research/pet-walkthrough-harness/2026-07-11T00-07-21-914Z-3943a614/scaling/scale-150-raft.png,sha256:d91c32f2931a60c9943e545d9d6f5520cde98402592f64ee27fe19ee0f55188d,80658,588,960,0.66915,92.831,0.0,1.0,0.986458,0.228516,True
