worker,model,strategy,bias,view_signature,view_hash,restart_hash,rss_bytes,heap_used_bytes,user_cpu_micros,system_cpu_micros
cypher-1,"deterministic-memory-guided",mystery-curator,mystery,"mystery|mystery:ready:2:1|verified:contested:2:1",sha256:c98b1a2afb3166124ac135af960b9b9c5afcb3de7747393c1356d2a249820034,sha256:c98b1a2afb3166124ac135af960b9b9c5afcb3de7747393c1356d2a249820034,159129600,48890624,765000,703000
cypher-2,"deterministic-memory-guided",verification-curator,verified,"verified|mystery:contested:2:1|verified:ready:2:1",sha256:eca05936951971b59043ec728d61a93b23d4458f149bdb2ab1f4e8ff2282671a,sha256:eca05936951971b59043ec728d61a93b23d4458f149bdb2ab1f4e8ff2282671a,157294592,48796320,890000,468000
cypher-3,"deterministic-risk-auditor",risk-auditor,verified,"verified|mystery:contested:2:1|verified:ready:2:1",sha256:70971de328ad0e3f91812bf0d48ef9d72812710a76a1ec3fdc65eb3a021fbae3,sha256:70971de328ad0e3f91812bf0d48ef9d72812710a76a1ec3fdc65eb3a021fbae3,161816576,43805568,890000,468000
cypher-4,"deterministic-originality-auditor",originality-auditor,mystery,"mystery|mystery:ready:2:1|verified:contested:2:1",sha256:47e3e833aa1a57ea91e24cd0e3db8016d21f576674d495df6003e8b2b6e39abf,sha256:47e3e833aa1a57ea91e24cd0e3db8016d21f576674d495df6003e8b2b6e39abf,162549760,43796640,1093000,453000
cypher-5,"deterministic-verification-questioner",verification-questioner,neutral,"mystery|mystery:ready:2:1|verified:ready:2:1",sha256:caf54cfde75bd6dd69e26bf534e3c2e78ffb4eb382bfa503b491b4f5e966d2d5,sha256:caf54cfde75bd6dd69e26bf534e3c2e78ffb4eb382bfa503b491b4f5e966d2d5,160735232,53971488,906000,640000
cypher-6,"deterministic-memory-guided",mystery-builder,mystery,"mystery|mystery:ready:2:1|verified:contested:2:1",sha256:f44e69ebc8bb7b2234997b2f6b898a73b857b580b2a3de7cf04c710dfa8d5607,sha256:f44e69ebc8bb7b2234997b2f6b898a73b857b580b2a3de7cf04c710dfa8d5607,158953472,48926368,937000,515000
cypher-7,"deterministic-bridge-builder",bridge-builder,verified,"verified|mystery:contested:2:1|verified:ready:2:1",sha256:8d48c62ff2db90cd86af858660b86819bc2bd24983dceee477e16c827851d13c,sha256:8d48c62ff2db90cd86af858660b86819bc2bd24983dceee477e16c827851d13c,163323904,43856056,953000,500000
cypher-8,"deterministic-quiet-observer",quiet-observer,critical,"mystery|mystery:contested:2:1|verified:contested:2:1",sha256:9c40506afb8e8f781d24388777afb12d1ce29b364dd233bb70c579660cd4e4a3,sha256:9c40506afb8e8f781d24388777afb12d1ce29b364dd233bb70c579660cd4e4a3,156553216,48751432,875000,515000
