worker,model,strategy,bias,view_signature,view_hash,restart_hash,rss_bytes,heap_used_bytes,user_cpu_micros,system_cpu_micros
cypher-1,"fixture-memory-guided",mystery-curator,mystery,"mystery|mystery:ready:2:1|verified:contested:2:1",sha256:cd3383ddee44203b4c260e11a43b89ed6f6a36f0793191b9e131b2d9ac9c77e0,sha256:cd3383ddee44203b4c260e11a43b89ed6f6a36f0793191b9e131b2d9ac9c77e0,159174656,49323608,1078000,500000
cypher-2,"fixture-memory-guided",verification-curator,verified,"verified|mystery:contested:2:1|verified:ready:2:1",sha256:e3255224aa6e0a6b99d6f7a86cf8d2a464b38f316e63d2289b9092167ef4011c,sha256:e3255224aa6e0a6b99d6f7a86cf8d2a464b38f316e63d2289b9092167ef4011c,164331520,44268560,984000,390000
cypher-3,"fixture-risk-auditor",risk-auditor,verified,"verified|mystery:contested:2:1|verified:ready:2:1",sha256:9e36609d23c3c737c3ced8c6ccaa0303096bdeec703e30ef89ad44542e7976aa,sha256:9e36609d23c3c737c3ced8c6ccaa0303096bdeec703e30ef89ad44542e7976aa,158429184,49306560,765000,546000
cypher-4,"fixture-originality-auditor",originality-auditor,mystery,"mystery|mystery:ready:2:1|verified:contested:2:1",sha256:f2427cd695bf881bed0baa648cb59d0c2a5a3d599539dcabd01a9dd959a89350,sha256:f2427cd695bf881bed0baa648cb59d0c2a5a3d599539dcabd01a9dd959a89350,163667968,44296848,843000,546000
cypher-5,"fixture-verification-questioner",verification-questioner,neutral,"mystery|mystery:ready:2:1|verified:ready:2:1",sha256:3da7eba3849f90e354b49cf8523be6c2dc4b97aa2120d6a5e139da2b8e7431e5,sha256:3da7eba3849f90e354b49cf8523be6c2dc4b97aa2120d6a5e139da2b8e7431e5,161730560,54524736,906000,328000
cypher-6,"fixture-memory-guided",mystery-builder,mystery,"mystery|mystery:ready:2:1|verified:contested:2:1",sha256:3a51b3ddf1a8f480b2efb1d1f9981de1e2d72aecc7d3f971d8ebc118841ff2d1,sha256:3a51b3ddf1a8f480b2efb1d1f9981de1e2d72aecc7d3f971d8ebc118841ff2d1,162742272,44338120,843000,640000
cypher-7,"fixture-bridge-builder",bridge-builder,verified,"verified|mystery:contested:2:1|verified:ready:2:1",sha256:9435c27e427556d71c3216615b568cd1a51baf9dd1bf6383436b6c7b76d95a97,sha256:9435c27e427556d71c3216615b568cd1a51baf9dd1bf6383436b6c7b76d95a97,159309824,49393816,812000,468000
cypher-8,"fixture-quiet-observer",quiet-observer,critical,"mystery|mystery:contested:2:1|verified:contested:2:1",sha256:7a413d487d4fccd38a943adc95b1ccc832b97389b5591a3f3c836c46da546ebd,sha256:7a413d487d4fccd38a943adc95b1ccc832b97389b5591a3f3c836c46da546ebd,158253056,49295992,937000,453000
