agents,rows,population_ms,query_ms,compact_ms,candidates,included,source_ids,screened,deduplicated,estimated_tokens,database_bytes,rss_bytes,heap_used_bytes,cpu_user_ms,cpu_system_ms,deterministic
2,16,78.095,0.413,0.844,16,4,5,0,2,858,4096,74039296,17906624,93,0,true
8,64,177.6,0.352,0.358,50,4,4,0,11,819,4096,74428416,17601232,219,47,true
32,256,651.856,0.385,0.223,50,4,4,0,0,821,323584,75702272,18909856,609,47,true
100,800,1994.113,0.396,0.199,50,4,4,1,0,821,913408,78106624,16275688,1703,296,true
500,4000,9977.058,0.292,0.221,50,4,4,0,0,823,4861952,98693120,13967936,8609,813,true
